step,lr,l0,dead_fraction,loss,reconstruction_loss,l1_loss,aux_loss
40,8.200000000000001e-06,7654.2529296875,0.0,17.205854415893555,7.707505226135254,3573.306640625,7.711695671081543
41,8.400000000000001e-06,7628.26025390625,0.0,20.32597541809082,9.223550796508789,3747.10546875,9.228872299194336
42,8.6e-06,7600.6455078125,0.0,16.802871704101562,7.511743068695068,3549.64990234375,7.516303062438965
43,8.8e-06,7570.849609375,0.0,19.763145446777344,8.948432922363281,3721.18115234375,8.954120635986328
44,9e-06,7544.69091796875,0.0,15.522859573364258,6.88875675201416,3481.49755859375,6.893354415893555
45,9.2e-06,7516.1279296875,0.0,16.050533294677734,7.144575119018555,3512.78662109375,7.149564743041992
46,9.4e-06,7487.5283203125,0.0,14.009955406188965,6.156475067138672,3385.08740234375,6.16093635559082
47,9.600000000000001e-06,7456.56689453125,0.0,15.908687591552734,7.075652122497559,3503.94921875,7.081060409545898
48,9.8e-06,7425.2236328125,0.0,15.827260971069336,7.036057472229004,3498.95068359375,7.041728496551514
49,1e-05,7394.3271484375,0.0,16.004032135009766,7.120448112487793,3514.3193359375,7.126425743103027
50,1.02e-05,7358.4365234375,0.0,13.878896713256836,6.0921831130981445,3378.422119140625,6.097503185272217
51,1.0400000000000002e-05,7329.6982421875,0.0,14.3099946975708,6.3015594482421875,3402.24658203125,6.30731201171875
52,1.06e-05,7293.3173828125,0.0,11.093496322631836,4.749831676483154,3178.8046875,4.7542619705200195
53,1.08e-05,7265.4482421875,0.0,12.06130599975586,5.215776443481445,3249.2822265625,5.220888614654541
54,1.1000000000000001e-05,7224.7841796875,0.0,14.34272575378418,6.315176010131836,3411.78515625,6.321657657623291
55,1.12e-05,7192.521484375,0.0,12.459745407104492,5.408200263977051,3275.1728515625,5.413958549499512
56,1.1400000000000001e-05,7166.9619140625,0.0,12.207317352294922,5.286275863647461,3257.85546875,5.292113304138184
